参加枠名,ユーザー名,表示名,利用開始日,コメント,参加ステータス,出欠ステータス,ノーマウント勉強会への参加は初めてですか？,Twitterアカウント(ID or URL),ひとこと(メッセージや当日聞きたいこと等),更新日時,受付番号
一般,user1,displayName1,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20に参加を申し込みました！,参加,,参加したことある,,,2020年10月25日 20時29分,2715417
一般,user2,displayName2,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20 に参加を申し込みました！,参加,,参加したことある,,,2020年10月25日 20時30分,2715418
一般,user3,displayName3,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20 に参加を申し込みました！,参加,,参加したことある,,,2020年10月25日 20時30分,2715419
一般,user4,displayName4,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20 に参加を申し込みました！,参加,,参加したことある,,,2020年10月25日 20時39分,2715432
一般,user5,displayName5,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20に参加を申し込みました！,参加,,参加したことある,,,2020年10月25日 20時41分,2715435
一般,user6,displayName6,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20に参加を申し込みました！,参加,,参加したことある,sansuke346,Udemy購入しました！当日はよろしくお願いします！,2020年10月25日 20時41分,2715436
一般,user7,displayName7,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20に参加を申し込みました！,参加,,参加したことある,,,2020年10月25日 20時53分,2715450
一般,user8,displayName8,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20に参加を申し込みました！,参加,,初めて,,はじめまして。,2020年10月25日 21時02分,2715463
一般,user9,displayName9,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20に参加を申し込みました！,参加,,参加したことある,,,2020年10月25日 21時50分,2715512
一般,user10,displayName10,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20に参加を申し込みました！,参加,,参加したことある,stupidmore,,2020年10月25日 21時53分,2715514
一般,user11,displayName11,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20に参加を申し込みました！,参加,,初めて,,,2020年10月25日 22時13分,2715539
一般,user12,displayName12,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20に参加を申し込みました！,参加,,参加したことある,,,2020年10月25日 22時17分,2715547
一般,user13,displayName13,2020年1月1日,現役フリーランス主催 関西若手エンジニア、デザイナーのための【ノーマウント勉強会】#20 に参加を申し込みました！,参加,,参加したことある,,,2020年10月25日 22時32分,2715569
